Diet,Pen,Turkey,ADG
A,1,1,1.7
A,1,2,1.9
A,1,3,1.9
A,2,1,1.3
A,2,2,1.3
A,2,3,1.3
A,3,1,1.2
A,3,2,1.1
A,3,3,1.1
A,4,1,1.4
A,4,2,1.1
A,4,3,1.6
B,1,1,1.5
B,1,2,1.5
B,1,3,1.4
B,2,1,1.7
B,2,2,1.4
B,2,3,1.5
B,3,1,1
B,3,2,0.8
B,3,3,1
B,4,1,1.3
B,4,2,1.5
B,4,3,1.1
C,1,1,1.7
C,1,2,1.7
C,1,3,1.7
C,2,1,1.7
C,2,2,1.6
C,2,3,1.6
C,3,1,1
C,3,2,1.2
C,3,3,1
C,4,1,1.4
C,4,2,1.6
C,4,3,1.2
D,1,1,0.9
D,1,2,0.8
D,1,3,0.8
D,2,1,1.3
D,2,2,1.3
D,2,3,1.3
D,3,1,0.4
D,3,2,0.5
D,3,3,0.8
D,4,1,0.8
D,4,2,1
D,4,3,0.9
