Platform_Replicate,NS_Position,EW_Position,Growing_Media,Coverage_Pct
1,1,1,Freedom Square,44.4
1,1,2,High Organic Matter,71.6
1,1,3,FLL Standard,61.4
1,2,1,High Organic Matter,75.1
1,2,2,FLL Standard,57.1
1,2,3,Freedom Square,47.4
1,3,1,FLL Standard,57.1
1,3,2,Freedom Square,45.4
1,3,3,High Organic Matter,56.9
2,1,1,FLL Standard,64.8
2,1,2,Freedom Square,54.1
2,1,3,High Organic Matter,62.4
2,2,1,Freedom Square,47.9
2,2,2,High Organic Matter,66.3
2,2,3,FLL Standard,56.5
2,3,1,High Organic Matter,59.3
2,3,2,FLL Standard,56.9
2,3,3,Freedom Square,53
3,1,1,Freedom Square,62.8
3,1,2,FLL Standard,62
3,1,3,High Organic Matter,70.6
3,2,1,FLL Standard,57.4
3,2,2,High Organic Matter,67
3,2,3,Freedom Square,54.7
3,3,1,High Organic Matter,71.5
3,3,2,Freedom Square,46.8
3,3,3,FLL Standard,54.9
